question;answer
*В чем заключался закон о ликвидации гнилых местечек и его год?*;(Запрещалось выдвигать представителей из маленьких поселений, 1832)
*Назовите идеологические течения в 19 веке?*;(Консерватизм, реакционизм, либеральное, радикальное, правородикальное, леворадикальное, анархизм)
*Кто был фаворитом Софьи и что он подписал?*;(Галицын, подписал вечный мир с Польшей, 1686)
*Годы восстания тайпинов?*;(1850-1864)
 *В каком году, при каком правителе и как называлось первое высшее учебное заведение?*;"(Славяно-греко-латинская академия, 1689, царевна Софья)
"
*Что было причиной войны Авганистана с Индией в 19 веке?*;(Авганистанцы оказывали влияние на мусульманское население Индии)
*Какие страны в 1698 году вошли в Северный союз и их цель?*;"(Россия, Речь Поспалита, Дания, Саксония; отвоевать у Швеции прибалтийских земли)"
*Кем Павел 1 являлся Екатерине 2 и чем отличалось их правление?*;"(Её сын, Павел в отличии от Екатерины стремился улучшить интересы дворян)
"
*Военные реформы при Петре 1?*;"(Колокола переплавляли в пушки, открыто 200 мануфактур, введён рекрутский набор)
"
 *Кто входил в Негласный комитет?*;(Чарторыйский, Кочубей, Новосильцев)
*Реформы в области гос управления при Петре 1?*;"(Создавался сенат, создавались 12 коллегий, создан Табель о рангах)
"
*Какие 8 министерств были созданы при Александре 1 и в каком году?*;"(Иностранных дел, внутренних дел, юстиции, военное, морское, народного просвящения, коммерции, финансов; 1802)
"
*В чем заключалась Подушная подать и в каком году?*;(За каждого мужчину в семье нужно было платить налог)
"*В чем заключалась реформа ""Военные поселения""?*";(Армия проводилась на самообиспечение, солдаты проживали в деревнях с крестьянами)
"*Кто входил в ""Кабинет министров Российской империи""?*";"(Бирон, Миних, Остерман)
"
* Назови 3 крупных восстания в Европе в 19-20 веках?*;"(Бабистов, Ихетуаней, Сипаев)
"
*С какого года началась консервативная политика Александра 1 и почему*;(С 1812, он стал опираться на военную элиту)
*Условия Тильзитского мирного договора и между какими странами он был подписан?*;"(Россия и Франция;
•Россия и Франция делили зоны влияния
•Наполеон обязывался не поддерживать Персию и Турцию в войне с Россией, а Россия признавала завоевания Наполеона
•Создавалось независимое гос-во -герцогство Варшавское
•Россия присоединялась к континентальной блокаде Англии)"
*Какие земли отошли России по Ништадскому мирному договору, год?*;(Эстляндия, Лифляндия, Ингерманландия, 1721)
*Как называлась экономическая политика, придуманная Наполеоном? В чём она заключалась? *;(Континентальная Блокада. Странам Европы запрещалось торговать с Англией.)
*Что требовали Якобинцы? *;(Соблюдение декларации прав человека и отречение короля от престола.)
* Какой договор заключили Франция с Россией в 1807г? *;(Тильзитский договор)
*Годы гражданской войны в США? *;(1861-1865гг.)
*Какую доктрину выдвинул гос. секретарь США, Монро? В чём она заключалась? *;"(Доктрина о невмешательстве. Странам Европы запрещалось вмешиваться на континент Америки.)
"
*Какие 2 партии сформировались на конгрессе в США, после окончания Г.В.*;(Демократы и Республиканцы)
* Годы правления Ивана Грозного. Какой вид монархии сложился при его правлении?*;(1533-1584гг. Сословно-представительская монархия)
*Годы Ливонской войны. Причина Ливонской войны. На сколько этапов делилась эта война? *;(1558-1583гг. Стремление Ивана Грозного получить выход к Балтийскому. На два этапа.)
*Годы правления Александра 1-го. На какие два периода делилась его внутренняя политика?*;(1801-1825гг. Либеральный и Консервативный период.)
*В каком годы был принят указ о «Заповедных летах»? В чём заключался данный указ? *;"( В 1518г. Крестьянам запрещалось уходить от помещиков, даже в Юрьев день. 
)"
*Годы освоения Сибири. Какими были причины её освоения?*;(1581-1583гг. Расширение государственных земель, стремление России продавать пушнину. )
* В каком году население Китая подняло восстание против опиума? Что изменилось после восстания? *;( В 1839г. Ничего не изменилось.)
* В каком году было восстание Тайпинов? Кто такие Тайпины и каковы были их требования?*;( В 1850г. Тайпины – это крестьяне в Китае. Прекращение доставки опиума и снижение налогов.)
*В каком году было восстание Ихэтуаней? И какое идеологическое движение возникло на этом фоне? Дайте ему определение. *;(В 1850г. Тайпины – это крестьяне в Китае. Прекращение доставки опиума и снижение налогов.)
*Назови первые автономии*;(Австралия и Канада)
*Где появилось первое бюджетное образование?*;(в Германии)
*На какие ханства делился Афганистан? *;(Кабульское, Гератское, Кандагарское)
"* Что означала политика ""Мейдзи"" и когда она была принята?*";"(1868 г, означала просвященное правление: согласно ей Япония начала развивать науку и образование)
"
*Когда был подписан указ о вольных хлебопашцах, что он означал?*; (1803 г, крестяне с соглашения помещика могли выкупить себе свободу)
*Назови полководцев Отечественной войны 1812 г*;(Барклай-де-Толли, Багратион, Кутузов, Раевский, Платов)
*Кто такой Михаил Сперанский, что он предлагал?*;(Секретарь негласного комитета, предложил ввести в России конституционную монархию)
*На какие две категории делились татары в Поволжье , после захвата Казани и Астрахани при Иване Грозном? *;"(1. Крашены (Крещенные татары) 
2. Ясачные татары ( они облагались налогом – «Ясак») )"
*При ком была создана тайная канцелярия и чем она занималась? *;(При Анне Иоанне. Занимались поиском врагов императрицы)
*Назови 5 отделений собственных его величества канцелярий*;"(1. По высочайшим прошения 
2.Кодификаций 
3.Жандормерия 
4.отделение управления императрицы Марии 
5.управление гос. Деревней)"
*На какие 2 лагеря поделились либералы при Николае 1 и назови их лидеров?*;"(Западники - Тургенев, Грановский, Соловьев
Славянофилы- Даль, Хомяков, Аксаковы)"
*Какую теорию создал граф уваров и что она означала?*;"(Теория официальной народности:
Россия состояла из 3 частей:
1)Самодержавие (идеальная форма правления)
2)Православие (религиозное составляющие)
3)Народность (многочисленный народ))"
*При Николае 1 в России был установлен новый денежный стандарт. По чьей инициативе он был установлен и как он назывался?*;(По инициативе министра финансов Канкрина, Серебряный рубль)
*Кем являлся Симон Боливар?*;(Он возглавил войну за независимость Венесуэлы и Колумбии (1810-1826), стал первым президентом новой республики- Великой Колумбии (1821))
*К чему привела политика Избранной Рады во время правления Ивана Грозного? А так же, что было учреждено вследствие данной политики?*;"( 1 - Политика избранной рады привела к укреплению военной мощи Московского гос-ва
  2 - В 1550-е годы было учреждено стрелецкое войско, ограничено местничество на период военных походов, создана избранная тысяча)"
*В чем состояла реформа военные поселения? Назови год и при ком ?*;(В 1810 при Александре 1. Армия переводилась на самообеспечение, солдаты проживали в деревне с крестьянами)
*В России вместо мануфактур стали строиться фабрики и заводы. Назови первые заводы в России*;"(Путиловский завод в Петербурге,
Ивановская ткацкая фабрика,
Мыловаренный завод в Казани)"
"*Годы русско-турецкой войны при Александре , чем она закончилась?
В 1806-1812*";(в 1812г. был подписан Бухарестский мирный договор: России отошли территории Бессарабии (Молдавия), Сербия получила автономии от Османской империи)
*Назови причины революционер в Европе 19 века?*;(Увеличение образования среди населения Европы и нежелание власти подстраиваться под население)
"*Что такое ""Табель о рангах"", при ком был создан?*";(Это закон, согласно которому должности занимались из-за заслуг человека. При Петре 1)
*После войны в Англии 17 века возникли движения против парламента. Назови их и к чему они стремились?*;"( 1 - Уравнители - стремились к тому, чтобы крестьяне тоже имели право избираться в парламент
 2 - Копатели- стали силой отбирать земли у помещиков)"
*Назови Португальские и Испанские колонии в Латинской Америке*;"( 1 -Португальские: Бразилия, Гаити, Парагвай
  2 - Испанские: Аргентина, Венесуэла, Колумбия)"
"*Что означала политика ""Мэйдзи"" и в каком году она была принята?*";(В 1868г. означала просвещенное правление: согласно ей Япония начла развивать науку и образование)
*Чем праворадикалы отличались от леворадикалов?*;"(Праворадикалы- поддерживают нацию
Леворадикалы- поддерживают классы )"
