question;answer
"*В чем суть политики ""закрытых дверей"" ?*";"
(Страна проводящая данную политику отказывалась от торговых связей с иным миром)"
*В чем заключается суть интернационализации?*;(В привидении к единому стандарту всех систем образования)
*Виды безработицы*;(Циклическая, сезонная, фрикционная, структурная)
*Виды избирательных систем*;(Пропорциональная, мажоритарная, смешанная)
*Виды факторов производства*;"(1. Земля
2. Труд
3. Капитал
4. Предпринимательские способности
5. Информация)"
*Как составляется совет федерации?*;(От каждого субъекта отправляется по 2 человека)
*Классификация науки*;"(1.По предмету изучения
-гуманитарные
-математические
-естественные
-науки о познании
2. По удаленности от практики
-фундаментальные
-прикладные)"
*Назови 3 вида партийных систем с примерами стран*;"(Однопартийные (СССР)
Двухпартийные (США)
Многопартийные( РФ))"
*Назовите 2 вида предпринимательств и их определения*;"( 1 - Производитель - частное лицо или фирма, которая занимается производством товара и дальнейшей продажей
  2 - Бизнес - получение прибыли при помощи купли-продажи)"
*Полномочия правительства РФ*;"(•разрабатывает бюджет
•расходует бюджет
•исполняет законы и указы президента
•проводит экономическую политику в стране
•распоряжается гос. собственностью
•проводит меры по обороне страны и ликвидации чрезвычайных ситуаций)"
*Понятия культуры*;"(1. Культура – это все материальные и нематериальные предметы, созданные человечеством
2. Культура – деятельность, направленная на создание эстетических ценностей
3. Культура – моральные норма отдельно взятого индивида или социальной группы)"
*Структура экономической деятельности*;"(1. Производство
2. Распределение
3. Обмен
4. Потребление)"
*Ступени образования в РФ*;"(1. Дошкольное образование
2. Основное общее образование
3. Среднее общее образование
4. Среднее профессиональное образование
5. Высшее профессиональное образование
6. Дополнительное образование)"
*Что такое Унитарное государство и пример стран?*;"(Вся власть сосредоточена в столице, в субъектах нет своих органов власти и законов; Китай, Украина)"
*Что такое деньги? Виды денег*;"(Деньги - это товар, выполняющий функцию всеобщего обмена.
Виды денег:
1. Наличные: монета, купюра
2. Безналичные: электронные, криптовалюты, карты)"
*Что такое интервенция?*;(Военное, политическое или экономическое вмешательство одного или нескольких государств во внутренние дела другой страны, нарушающее её суверенитет)
*Что такое квазигруппы? Виды*;"(Квазигруппы – объединение людей на короткое время по определенному признаку
виды:
1. Толпа
2. Фан-группа
3. Аудитория)"
*Что такое контр культура*;(Разновидность культуры которая выступает против сложившихся норм в обществе)
*Что такое наука? Признаки науки*;"(Наука – институт духовной сферы, в рамках которого создаются новые знания
Признаки
1. Имеет логическую обоснованность
2. Имеет доказательность
3. Объективность)"
*Что такое образование? Какие 2 процесса включает в себя образование?*;"(Образование – институт духовной сферы, в рамках которого целенаправленно формируется личность
Образование включает в себя 2 процесса
1. Обучение
2. Воспитание)"
*Что такое социальная группа? Виды социальных групп*;"(социальная группа - совокупность индивидов, связанных определенными признаками
Виды социальных групп
1. По количеству людей
-малые
-большие
2. По фактору создания
- формальные
-неформальные
3. По отношениям внутри группы
-первичные
-вторичные)"
*Что такое социальная стратификация? Исторические типы*;"(Социальная стратификация – деление общества на определенные крупные слои
1. Рабство
2. Сословие
3. Касты
4. Классы)"
*Что такое статус? Виды*;"(Статус – положение индивида в определенной социальной группе
Виды
1. Прирожденный
2. Достигаемый)"
*Что такое экономика?*;(Экономика - это система хозяйствования, которая включает в себя материальное и нематериальное производство)
*Что такое политика?*;(Это сфера общества, которая занимаются управление иных сфер)
*Что такое власть?*;(Способность одного лица или групп лиц управлять и навязывать свою волю другим)
*Назовите компоненты власти:*;"(-источник (народ, династия, традиции)
-ресурсы (армия, авторитет, харизма) )"
*Что такое государство? *;(Это система органов и учреждений, распр. Свою власть на определённой территории)
*Признаки государсво:*;"(-суверенитет
-монополия на применение силы
-публичный характер
-наличие границ
-наличие гос. Органов и учреждений
-наличие налогов)"
*Назовите ветви власти и чем они занимаются?*;"(-законодательная (обработка законов)
-исполнительная (обеспечивает работу законов)
-судебная (контролирует и выносит наказание тем, кто не исполняет законы))"
*Из чего состоит судебная власть?*;"(-конституционный суд
-верховный суд
-ген. Прокуратура РФ.)"
*Полномочия конституционного суда:*;"(-проверяет законы на соответствие с конституцией
-решает споры между высшими органами власти
-принимает касации от населения
-принимает решение на отстранение президента)"
*Полномочия Верховного суда:*;"(-контр. Деятельность ниже стоящих судов
-принимает апелляцию от населения
-проводит следствия по обвинению президента)"
*Полномочия прокуратуры рф:*;"(-Осуществляет надзор за органами власти и граждан
-накладывает определённые решения и санкции
-проводит проверку следственных органов на предмет ведения дел
-представляет гос. Обвинение в суде)"
*Полномочия президента:*;"(-предлагает исполнительную власть в гос дума
-предлагает судебную в совет федерации
-формирует совет безопасности
-обозначает диктатуры внешней политике
-принимает решение об отстранение командующих вооружёнными силами
-является верховным  главнокомандующим)"
*Что такое предпринимательство*;(Это деятельность, связанная с риском и направленная на получении прибыли )
*Назови структуру НПА в России*;"(1)Конституция РФ
2)Федеральные законы
3)Указы президента РФ
4)Постановление правительства и ведомств)"
*Что такое конституция?*;(Это единый, обладающий особыми юридическими свойствами документ, посредством которого народ учереждает основные принципы устройства общества и государства)
*Назови признаки конституции*;"(1)Имеет учредительный характер
2)Обладает высшей юридической силой
3)Отличается стабильностью
4)Нормы конституции имеют прямое действие)"
*Назови функции конституции*;"(1)Политическая
2)Правовая
3)Гуманистическая
4)Мировозренческая)"
*Что такое общество?*;(Это обособленное от природы, но тесно связанная с ней часть материального мира, которая включает в себя способы и формы взаимодействия людей)
*Назови структуру общества*;"(1)Система-общество
2)Сферы общества
3)Институты общества
4)Агенты общества
5)Элемент общества)"
*Что такое институт, и какие институты ты знаешь?*;"(Это элемент сферы общества, в рамках которого реализуется какая-либо функция
1)экономические
2)социальные
3)духовные
4)политические)"
*Что такое агенты общества или социальные агенты?*;(Это институты, которые оказывают влияние на иные компоненты или институты.)
*Что такое циклический подход?*;(Он основывается на том, что все цивилизации проходят одинаковый путь развития.)
*Кто разработчик теории формаций, и что такое формация?*;"(Карл Маркс и Энгельс
Это определённый класс, который создаёт все блага.)"
*Назови 5 формаций*;"(1) первобытно-общинная
2) рабовладельческая (рабы)
3) феодальная (крестьяне)
4) капиталистическая (торговцы)
5) коммунистическая (рабочие))"
*Какие этапы выделил Тоффлер в своей теории?*;"(1) традиционное общество (аграрное) - до 18 века
2) индустриальное общество (машинное производство) - с конца 18 века до середины 20 века
3) постиндустриальное (информационное) - с середины 20 века)"
*Что входит в аграрное общество?*;"(1) ручной труд
2) большое влияние религии
3) преобладающая форма правления - монархия
4) коллективистский труд)"
*Что входит в индустриальное общество?*;"(1) появление машинного производства
2) конвейер и разделение труда
3) урбанизация (увеличение населения городов)
4) появление демократии
5) форма правления - республика
6) эмансипация населения (получение прав))"
*Назови признаки правового государства. *;"(•верховность закона;
•разделение властей;
•плюрализм;
•наличие оппозиции;
•взаимная ответственность государства и граждан друг перед другом;)"
*Что такое гражданское общество? *;(Сфера само-проявления граждан свободных от вмешательства государства. )
*Предпосылки гражданского общества. *;"(•высокий уровень образованности населения;
•свободные и независимые СМИ;
•рыночная экономика;
•реализация основных прав и свобод населения;)"
*Назови виды общественно- политических движений. *;"(•экологические;
•студенческие;
•демографические(женские, пенсионные, молодежные)
•профессиональные)"
*Что такое право? *;(Право- система норм регулирующая поведение индивидов в общественных и социальных группах с помощью законов. )
*Что такое правовое государство? *;(Вид демократического государства при котором государство и граждане имеют равные права и обязанности.)
*Что такое МСУ?*;(Вид государственной власти который призван решать вопросы локального значения.)
*Назови функции МСУ.*;"(-обеспечивает участие населения в решении вопросов местного характера
-обирает налоги и сборы для решения задач локального значения
-управляет муниципальной собственностью
-обеспечивает потребности населения)"
*Кто входит в состав МСУ?*;(Представительный орган(городская дума ,совет мсу, собрание мсу) и глава мсу)
*Назови полномочия выборного органа.*;"(-утверждает местный бюджет
-утверждает программу развития
-устанавливает налоги
-контролирует деятельность главы мсу)"
*Назови полномочия главы мсу.*;"(-Управляет муниципальной собственностью
-разрабатывает бюджет
-регулирует земельные отношения)"
*Какие выделяются  2 вида участия в политической жизни?*;(Активное(посещение выборов) Пассивное(гражданин может выдвинуть свою кандидатуру на выборы))
*Назови признаки пропорциональной избирательной системы*;"(-применяется при выборах в парламент
-места распр согласно % голосов отданных за партию
-отсутствует ответственность кандидатов перед избирателями
-страна представляет единый избирательный округ
-существует мин барьер голосов(4%))"
*Назови признаки смешанной  избирательной системы*;(-применяется в парламенте когда часть мест рапр по пропорциональной а часть по махоритарной)
*Признаки демократической системы голосования*;"(-состязательность
-открытость
-принцип тайного голосования
-принцип добровольности
-принцип ограничения срока выборов)"
*Что такое референдум?*;(Это форма прямого волеизъявления при которой граждане отвечают на определенный вопрос)
*Что такое выборы?*;(Это форма прямого волеизъявления при которой избираются определенные политические органы)
*Какими бывают виды политических партий?*;"(-по идеологии(консервативные либеральные коммунистические)
-по наличию власти(правящие оппозиционные)
-по методам использования для достижения цели(реформистские революционные)
-по количеству членов(массовые кадровые)
-по шкале политического спектра(правые левые централизованные))"
*Какие есть политическое роли?*;"(-рядовой член общества
-человек состоящий в общественной организации или партии
-профессиональный политик
*политический лидер способный изменить ход политических событий)"
*Какие бывают виды лидерства?*;"(-по признанию(традиционный, харизматический и рационально легальный)
-на распределению власти(местные лидеры, региональные и национальные))"
*Что такое политическая партия?*;(Объединенная группа людей со схожими политическими взглядами стремящиеся к достижению власти.)
*Назови признаки политической партии.*;"(-наличие устава и программы развития
-наличие членства
-стремление добиться популярности с целью привлечения голосов)"
*Что такое Форма Государства?*;(Внешнее выражение публичной воли гос.органов.)
*Назови виды республик. Что они означают?*;"(Президентская(президент возглавляет исполнительную власть, нет премьер-министра, парламент возглавляет законодательная власть)
Полу президентская(смешанная),(исполнительную власть возглавляет премьер-министр, президент обладает правом роспуска парламента)
Парламентская(парламент назначает и выбирает премьер-министр, должность президента отсутствует, либо сильно ограничена))"
*Что означает форма территориального устройства государства?*;(Данная форма означает, как взаимодействуют между собой федеральный центр (столица) и субъекты.)
*Что включает в себя формы территориального устройства государства?*;"(Унитарное государство (вся власть сосредоточена в столице, в субъектах нет своих органов власти и законов)
Федерация(2-х палатная система, в субъектах имеются свои органы власти и законы)
Конфедерация(объединение независимых государств))"
*Что такое Политические режимы?*;(Это способы, которые использует государственный аппарат для управления обществом.)
*Назови признаки демократического режима*;"(Наличие свободных выборов
Соблюдение основных свобод
Граждане оказывают значительное влияние на политическую систему)"
*Назови признаки смешанной  избирательной системы*;(-применяется в парламенте, когда часть мест распространяется по пропорциональной, а часть по махоритарной)
